sensor_index,row,col,u,v,x,y,z,source_quad_id_0based,source_face_id_1based,triangle_slot,tri_v0_1based,tri_v1_1based,tri_v2_1based,bary_w0,bary_w1,bary_w2
0,0,0,0.0,0.0,-1.27671007799,0.32806978,0.5768954033517175,4127,4128,1,4883,4752,4750,0.2538911627194737,0.46328983096956783,0.2828190063109584
1,0,1,0.25,0.0,-0.43711408399500007,0.32806978,1.0686545243073229,116,117,0,38,286,287,0.7517966343552113,0.2472462474123598,0.0009571182324289334
2,0,2,0.5,0.0,0.4024819099999999,0.32806978,1.0259068526523618,3765,3766,1,4498,4359,4358,0.11207138640515976,0.7401009991489514,0.1478276144458888
3,0,3,0.75,0.0,1.2420779039949996,0.32806978,1.1207356164080444,3482,3483,1,4207,4208,4209,0.20951806388847227,0.40233191981267513,0.3881500162988526
4,0,4,1.0,0.0,2.08167389799,0.32806978,0.8420038528391564,3314,3315,0,3829,4041,4039,0.48889063750385964,0.1541725278540426,0.3569368346420978
5,1,0,0.0,0.07142857142857142,-1.27671007799,0.53503684,0.7240373251494923,4005,4006,0,4753,4752,4754,0.9239168965309391,0.039392237052219295,0.03669086641684158
6,1,1,0.25,0.07142857142857142,-0.43711408399500007,0.53503684,1.1224577826921056,117,118,0,290,289,38,0.006605279390462515,0.8156455206805726,0.17774919992896487
7,1,2,0.5,0.07142857142857142,0.4024819099999999,0.53503684,1.0743277050574593,3759,3760,1,4358,4495,4356,0.5120055798743803,0.13620275133819815,0.3517916687874216
8,1,3,0.75,0.07142857142857142,1.2420779039949996,0.53503684,1.2007736224155519,3624,3625,1,4355,4208,4206,0.40973012985275364,0.22307711717420828,0.36719275297303805
9,1,4,1.0,0.07142857142857142,2.08167389799,0.53503684,1.0572114268531594,3475,3476,0,4201,4200,4038,0.07765158370334524,0.03301357965884955,0.8893348366378052
10,2,0,0.0,0.14285714285714285,-1.27671007799,0.7420039,0.8116543288186903,4006,4007,1,4753,4613,4611,0.011922051870876804,0.39067194460844357,0.5974060035206796
11,2,1,0.25,0.14285714285714285,-0.43711408399500007,0.7420039,1.1565868019550665,3884,3885,0,289,4621,4623,0.35592153879972555,0.46824029157101515,0.17583816962925936
12,2,2,0.5,0.14285714285714285,0.4024819099999999,0.7420039,1.0946580452546748,3758,3759,0,4493,4495,4349,0.03270519059237216,0.9652849972757296,0.0020098121318982546
13,2,3,0.75,0.14285714285714285,1.2420779039949996,0.7420039,1.2519484070411173,3623,3624,1,4355,4192,4191,0.5995756516091707,0.2916270095806871,0.10879733881014221
14,2,4,1.0,0.14285714285714285,2.08167389799,0.7420039,1.1790653035321752,3470,3471,1,4199,4200,4201,0.41608246561565176,0.3630019556859901,0.2209155786983582
15,3,0,0.0,0.21428571428571427,-1.27671007799,0.94897096,0.8821042174444597,3870,3871,1,4612,4613,4614,0.28758773117689396,0.013291404926301794,0.6991208638968043
16,3,1,0.25,0.21428571428571427,-0.43711408399500007,0.94897096,1.1846451802124545,3880,3881,0,4622,4621,4623,0.49902762223508035,0.16014649207025308,0.34082588569466654
17,3,2,0.5,0.21428571428571427,0.4024819099999999,0.94897096,1.1197578087711433,3756,3757,0,4491,4493,4347,0.011188539892490856,0.51239317326485,0.47641828684265913
18,3,3,0.75,0.21428571428571427,1.2420779039949996,0.94897096,1.275184651278713,3461,3462,1,4190,4191,4192,0.3934092596245245,0.23726957484338712,0.36932116553208844
19,3,4,1.0,0.21428571428571427,2.08167389799,0.94897096,1.24743996359688,3469,3470,1,4002,4199,4001,0.13192927505575486,0.40147094233448527,0.4665997826097598
20,4,0,0.0,0.2857142857142857,-1.27671007799,1.15593802,0.9324598453137991,3871,3872,0,4612,4614,4472,0.020764170077691935,0.033105605474535886,0.9461302244477722
21,4,1,0.25,0.2857142857142857,-0.43711408399500007,1.15593802,1.2012987589543407,3881,3882,0,4482,4624,4622,0.4097144425204406,0.16211881042502513,0.42816674705453434
22,4,2,0.5,0.2857142857142857,0.4024819099999999,1.15593802,1.1119425851212357,3754,3755,0,4489,4491,4345,0.032867023287973196,0.08738277212434496,0.8797502045876818
23,4,3,0.75,0.2857142857142857,1.2420779039949996,1.15593802,1.2757445118170807,3460,3461,0,3995,4190,4188,0.20326096224951595,0.38068906660860447,0.4160499711418796
24,4,4,1.0,0.2857142857142857,2.08167389799,1.15593802,1.272264365589309,3253,3254,0,4001,3999,4000,0.26077202698899593,0.15757700354175175,0.5816509694692523
25,5,0,0.0,0.35714285714285715,-1.27671007799,1.36290508,0.962864290369759,3735,3736,1,4473,4474,4475,0.8405036297484628,0.1230906049349578,0.03640576531657936
26,5,1,0.25,0.35714285714285715,-0.43711408399500007,1.36290508,1.2094347094410223,3743,3744,1,4481,4482,4483,0.24456724913119154,0.6862478283102437,0.06918492255856477
27,5,2,0.5,0.35714285714285715,0.4024819099999999,1.36290508,1.091242692383935,3611,3612,1,4342,4343,4344,0.08158285548165103,0.7383000098973607,0.1801171346209883
28,5,3,0.75,0.35714285714285715,1.2420779039949996,1.36290508,1.2504826113701883,3458,3459,1,3993,4186,3991,0.5167006140482998,0.3766577515773337,0.10664163437436648
29,5,4,1.0,0.35714285714285715,2.08167389799,1.36290508,1.2674863096864488,3252,3253,1,3709,4000,3708,0.0017778286519171127,0.15039006707498626,0.8478321042730966
30,6,0,0.0,0.42857142857142855,-1.27671007799,1.5698721400000002,0.9809879446738845,3736,3737,1,4473,4321,4319,0.20928354682915318,0.2995743801844441,0.49114207298640267
31,6,1,0.25,0.42857142857142855,-0.43711408399500007,1.5698721400000002,1.2127704786312803,3744,3745,0,4481,4483,4329,0.05805063593277915,0.6882152590977397,0.2537341049694811
32,6,2,0.5,0.42857142857142855,0.4024819099999999,1.5698721400000002,1.0798407339578429,3609,3610,1,4340,4341,4342,0.13498386979509858,0.38784858586103477,0.47716754434386666
33,6,3,0.75,0.42857142857142855,1.2420779039949996,1.5698721400000002,1.212769572325029,3243,3244,0,3990,3989,3991,0.040817590235327605,0.5631064624792635,0.39607594728540885
34,6,4,1.0,0.42857142857142855,2.08167389799,1.5698721400000002,1.2314768376752228,2967,2968,0,3707,3706,3708,0.4093775321010414,0.563523865219816,0.027098602679142613
35,7,0,0.0,0.5,-1.27671007799,1.7768392,0.9888952382767039,3587,3588,1,4321,4320,4322,0.2983968692972156,0.6201791971066548,0.0814239335961296
36,7,1,0.25,0.5,-0.43711408399500007,1.7768392,1.2071528928574955,3597,3598,0,4330,4329,4331,0.19714939408467447,0.7045652562879023,0.0982853496274232
37,7,2,0.5,0.5,0.4024819099999999,1.7768392,1.0621905892667673,3607,3608,1,4337,4339,4340,0.1890187028941288,0.06736691166065205,0.7436143854452192
38,7,3,0.75,0.5,1.2420779039949996,1.7768392,1.1582786951139568,3241,3242,0,3988,3987,3989,0.4719151748232573,0.29597176720433643,0.2321130579724062
39,7,4,1.0,0.5,2.08167389799,1.7768392,1.1631061710458686,2963,2964,0,3316,3704,3702,0.8379602656823743,0.01231203642704371,0.14972769789058202
40,8,0,0.0,0.5714285714285714,-1.27671007799,1.9838062600000002,0.9871078130859465,3588,3589,1,4320,4152,4151,0.37745840386502405,0.43608904765410217,0.18645254848087378
41,8,1,0.25,0.5714285714285714,-0.43711408399500007,1.9838062600000002,1.1941368800297836,3598,3599,0,4162,4332,4330,0.1471115807997505,0.09045523229062616,0.7624331869096234
42,8,2,0.5,0.5714285714285714,0.4024819099999999,1.9838062600000002,1.0421039708461075,3605,3606,0,4177,4337,4338,0.22592733373387405,0.5416481538480216,0.23242451241810438
43,8,3,0.75,0.5714285714285714,1.2420779039949996,1.9838062600000002,1.1051188499360438,3239,3240,0,3986,3985,3987,0.9132461645450598,0.027788271543257297,0.05896556391168296
44,8,4,1.0,0.5714285714285714,2.08167389799,1.9838062600000002,1.0650974846681842,2607,2608,0,3313,3312,3314,0.3449280346540726,0.07090501241574121,0.5841669529301862
45,9,0,0.0,0.6428571428571429,-1.27671007799,2.1907733200000004,0.9840373192234222,3419,3420,0,4149,4151,4152,0.555070585856622,0.0245353540660873,0.42039406007729074
46,9,1,0.25,0.6428571428571429,-0.43711408399500007,2.1907733200000004,1.176897458958938,3429,3430,0,4161,4160,4162,0.09481632175867477,0.5425662886213446,0.36261738961998063
47,9,2,0.5,0.6428571428571429,0.4024819099999999,2.1907733200000004,1.018343538212585,3606,3607,0,4170,4175,4338,0.2718368968734456,0.2209376873121362,0.5072254158144182
48,9,3,0.75,0.6428571428571429,1.2420779039949996,2.1907733200000004,1.0325529305617962,3236,3237,0,3980,3984,3696,0.1488090091231325,0.5089816980488091,0.3422092928280584
49,9,4,1.0,0.6428571428571429,2.08167389799,2.1907733200000004,0.9406767070262162,2605,2606,1,3309,3312,3313,0.7907842592641752,0.042037115306704224,0.16717862542912068
50,10,0,0.0,0.7142857142857143,-1.27671007799,2.39774038,0.9799150926225688,3420,3421,1,3939,4149,3938,0.386944042261607,0.4950579225301805,0.11799803520821245
51,10,1,0.25,0.7142857142857143,-0.43711408399500007,2.39774038,1.154962260966458,3430,3431,0,4161,4163,3948,0.5175555993323935,0.4344850903859018,0.04795931028170469
