global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
0,palm,??,0,0,0,0.0,0.0,-1.237178240093318,0.5635948983105749,0.7791515346481273,0.18906326554038308,4006,palm,2,1,0,-1.3317098728635095,0.4690632655403833,0.5874487394228863,4003,palm,-1.1426466073231265,0.4690632655403833,0.8354984531770012,4007,palm,-1.1426466073231265,0.6581265310807664,0.9042846887932848,4008,palm,-1.3317098728635095,0.6581265310807664,0.7070284065758351,4004,palm
1,palm,??,1,0,1,0.058823529411764705,0.0,-1.0481149745529348,0.5635948983105749,0.9403643594384332,0.18906326554038308,4008,palm,3,1,1,-1.1426466073231263,0.4690632655403833,0.8354984531770013,4007,palm,-0.9535833417827433,0.4690632655403833,0.9622610469418931,3889,palm,-0.9535833417827433,0.6581265310807664,1.0206472276455454,3888,palm,-1.1426466073231263,0.6581265310807664,0.904284688793285,4008,palm
2,palm,??,2,0,2,0.11764705882352941,0.0,-0.8590517090125518,0.5635948983105749,1.0367541283213737,0.18906326554038308,3888,palm,4,1,2,-0.9535833417827433,0.4690632655403833,0.9622610469418931,3889,palm,-0.7645200762423603,0.4690632655403833,1.0426874244748967,3890,palm,-0.7645200762423603,0.6581265310807664,1.095278095224943,3887,palm,-0.9535833417827433,0.6581265310807664,1.0206472276455454,3888,palm
3,palm,??,3,0,3,0.17647058823529413,0.0,-0.6699884434721687,0.5635948983105749,1.100224027343273,0.18906326554038308,3887,palm,5,1,3,-0.7645200762423602,0.4690632655403833,1.042687424474897,3890,palm,-0.5754568107019772,0.4690632655403833,1.0892947325386841,117,palm,-0.5754568107019772,0.6581265310807664,1.1310558255868612,3886,palm,-0.7645200762423602,0.6581265310807664,1.095278095224943,3887,palm
4,palm,??,4,0,4,0.23529411764705882,0.0,-0.4809251779317857,0.5635948983105749,1.124562233691807,0.18906326554038308,117,palm,6,1,4,-0.5754568107019772,0.4690632655403833,1.0892947325386841,117,palm,-0.38639354516159413,0.4690632655403833,1.1059918446513402,6500,palm,-0.38639354516159413,0.6581265310807664,1.1402753189052306,3884,palm,-0.5754568107019772,0.6581265310807664,1.1310558255868612,3886,palm
5,palm,??,5,0,5,0.29411764705882354,0.0,-0.2918619123914026,0.5635948983105749,1.1167080024176088,0.18906326554038308,6500,palm,7,1,5,-0.38639354516159413,0.4690632655403833,1.1059918446513402,6500,palm,-0.19733027962121102,0.4690632655403833,1.0909323611642934,6500,palm,-0.19733027962121102,0.6581265310807664,1.12757875804818,6500,palm,-0.38639354516159413,0.6581265310807664,1.1402753189052306,3884,palm
6,palm,??,6,0,6,0.35294117647058826,0.0,-0.10279864685101958,0.5635948983105749,1.1016815671063882,0.18906326554038308,3761,palm,8,1,6,-0.19733027962121114,0.4690632655403833,1.0909323611642934,6500,palm,-0.008267014080828042,0.4690632655403833,1.074549938795079,3762,palm,-0.008267014080828042,0.6581265310807664,1.0992912666876533,3761,palm,-0.19733027962121114,0.6581265310807664,1.12757875804818,6500,palm
7,palm,??,7,0,7,0.4117647058823529,0.0,0.08626461868936364,0.5635948983105749,1.0706740674368833,0.18906326554038308,3762,palm,9,1,7,-0.008267014080827903,0.4690632655403833,1.074549938795079,3762,palm,0.1807962514595552,0.4690632655403833,1.0511950847685203,3762,palm,0.1807962514595552,0.6581265310807664,1.0673822211809065,3757,palm,-0.008267014080827903,0.6581265310807664,1.0992912666876533,3761,palm
8,palm,??,8,0,8,0.47058823529411764,0.0,0.27532788422974663,0.5635948983105749,1.0618223347159472,0.18906326554038308,3759,palm,10,1,8,0.18079625145955508,0.4690632655403833,1.0511950847685205,3762,palm,0.3698595169999382,0.4690632655403833,1.0596342869766446,3629,palm,0.3698595169999382,0.6581265310807664,1.0814362813042149,3759,palm,0.18079625145955508,0.6581265310807664,1.0673822211809065,3757,palm
9,palm,??,9,0,9,0.5294117647058824,0.0,0.46439114977012985,0.5635948983105749,1.0890596958414565,0.18906326554038308,3759,palm,11,1,9,0.3698595169999383,0.4690632655403833,1.0596342869766446,3629,palm,0.5589227825403214,0.4690632655403833,1.0859982108921211,3629,palm,0.5589227825403214,0.6581265310807664,1.1266726482696587,3760,palm,0.3698595169999383,0.6581265310807664,1.0814362813042147,3759,palm
